epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1653.34,1.73056,2.08187,1.84393,0.36838,0.27232,0.24936,0.11537,2.01685,2.31354,2.1017,0.005743,0.005743,0.005743
45,1690.52,1.75898,2.08782,1.85409,0.44615,0.27902,0.2753,0.12105,2.02482,2.29813,2.08251,0.005644,0.005644,0.005644
46,1727.73,1.73887,2.0762,1.85096,0.39262,0.30089,0.27802,0.12567,2.0332,2.28473,2.08094,0.005545,0.005545,0.005545
47,1764.95,1.75975,2.08027,1.85471,0.40825,0.29598,0.28497,0.12373,2.05204,2.2766,2.07312,0.005446,0.005446,0.005446
48,1802.01,1.74133,2.08338,1.8536,0.43087,0.27991,0.27296,0.12361,2.04308,2.30831,2.13476,0.005347,0.005347,0.005347
49,1839,1.74221,2.07363,1.84002,0.38658,0.27545,0.2593,0.1191,2.02918,2.30471,2.07238,0.005248,0.005248,0.005248
50,1875.61,1.74685,2.07109,1.8451,0.40696,0.28616,0.2721,0.12607,2.00418,2.27288,2.09203,0.005149,0.005149,0.005149
51,1912.17,1.71427,2.05517,1.84465,0.39111,0.29152,0.28081,0.1247,2.01697,2.27787,2.09079,0.00505,0.00505,0.00505
52,1948.86,1.72296,2.06443,1.83473,0.42128,0.29598,0.28885,0.1314,2.02797,2.2609,2.10526,0.004951,0.004951,0.004951
53,1985.65,1.71361,2.05972,1.83108,0.39921,0.30759,0.28128,0.12276,2.00367,2.27956,2.02547,0.004852,0.004852,0.004852
54,2022.55,1.71522,2.05916,1.83943,0.4102,0.30089,0.29051,0.12926,2.02006,2.25132,2.07261,0.004753,0.004753,0.004753
55,2059.37,1.71649,2.04173,1.83188,0.39594,0.32857,0.29789,0.13024,2.0431,2.31495,2.0709,0.004654,0.004654,0.004654
56,2096.91,1.70862,2.02529,1.82969,0.44627,0.29643,0.30347,0.13463,2.02989,2.24569,2.0554,0.004555,0.004555,0.004555
57,2133.92,1.70931,2.02163,1.82257,0.4246,0.30089,0.28526,0.12801,2.03265,2.24195,2.09832,0.004456,0.004456,0.004456
58,2170.97,1.70292,1.99512,1.81825,0.42155,0.31161,0.29915,0.13247,2.04455,2.25474,2.06655,0.004357,0.004357,0.004357
59,2208.09,1.69126,2.00757,1.80597,0.41464,0.30402,0.29475,0.13669,1.98296,2.24963,2.035,0.004258,0.004258,0.004258
60,2244.96,1.70373,2.02504,1.8074,0.46104,0.31116,0.31142,0.1419,1.9939,2.1851,2.03058,0.004159,0.004159,0.004159
61,2281.89,1.69039,2.01931,1.81425,0.44785,0.29981,0.29425,0.13652,2.01527,2.23266,2.06851,0.00406,0.00406,0.00406
62,2318.89,1.67111,1.9965,1.80739,0.43186,0.29509,0.29587,0.13099,2.02889,2.23904,2.08267,0.003961,0.003961,0.003961
63,2355.67,1.70009,2.03381,1.8219,0.44447,0.30893,0.30916,0.13761,2.00302,2.23063,2.0693,0.003862,0.003862,0.003862
64,2392.42,1.69158,2.00128,1.81144,0.43492,0.32366,0.31719,0.14305,2.00966,2.18234,2.05024,0.003763,0.003763,0.003763
65,2429.17,1.69894,2.0045,1.81564,0.42068,0.30472,0.29222,0.1281,2.00601,2.29715,2.05648,0.003664,0.003664,0.003664
66,2466.01,1.67782,2.00968,1.80859,0.44012,0.3125,0.31931,0.14183,2.00951,2.18591,2.05536,0.003565,0.003565,0.003565
67,2502.82,1.67985,1.99963,1.80836,0.43479,0.3125,0.31343,0.14151,2.00391,2.19811,2.03248,0.003466,0.003466,0.003466
68,2539.84,1.67252,1.97469,1.79257,0.44036,0.30804,0.31086,0.14115,1.98822,2.18822,2.05196,0.003367,0.003367,0.003367
69,2576.68,1.69018,1.96885,1.78928,0.45591,0.31473,0.3184,0.1463,2.00298,2.17287,2.04799,0.003268,0.003268,0.003268
70,2613.98,1.68758,1.98264,1.8032,0.41307,0.32634,0.31748,0.14236,2.01095,2.18181,2.04799,0.003169,0.003169,0.003169
71,2651.14,1.66657,1.95566,1.77648,0.44059,0.3125,0.31807,0.1423,2.00014,2.2051,2.02795,0.00307,0.00307,0.00307
72,2688.4,1.64787,1.93957,1.7832,0.43661,0.31607,0.30826,0.14155,1.98937,2.1874,2.03601,0.002971,0.002971,0.002971
73,2725.73,1.6549,1.93197,1.77772,0.44191,0.31696,0.32616,0.14631,1.97882,2.17735,2.01147,0.002872,0.002872,0.002872
74,2763.03,1.64336,1.9336,1.76941,0.43546,0.31295,0.31303,0.14475,1.99274,2.17642,2.05557,0.002773,0.002773,0.002773
75,2800.47,1.6476,1.96721,1.79092,0.4646,0.32188,0.32507,0.14824,1.97894,2.15795,2.03429,0.002674,0.002674,0.002674
76,2837.68,1.64655,1.94113,1.77952,0.45787,0.31652,0.32469,0.1477,1.98174,2.14726,2.04693,0.002575,0.002575,0.002575
77,2874.66,1.63646,1.94574,1.7635,0.41936,0.3183,0.31726,0.14404,1.99314,2.16918,2.05085,0.002476,0.002476,0.002476
78,2911.43,1.64348,1.92967,1.77292,0.44865,0.32803,0.32853,0.14784,1.9938,2.15264,2.05217,0.002377,0.002377,0.002377
79,2948.09,1.64875,1.92813,1.77954,0.46126,0.325,0.33106,0.15232,1.95856,2.14619,2.01156,0.002278,0.002278,0.002278
80,2984.93,1.62736,1.93165,1.76904,0.46352,0.32589,0.32776,0.15065,1.9857,2.1319,2.047,0.002179,0.002179,0.002179
81,3021.45,1.66,1.9287,1.78078,0.44089,0.33527,0.33285,0.15405,1.992,2.12933,2.03798,0.00208,0.00208,0.00208
82,3058.26,1.63739,1.91222,1.76654,0.46194,0.33482,0.33764,0.15346,1.9823,2.12596,2.0419,0.001981,0.001981,0.001981
83,3095.37,1.63421,1.89847,1.76407,0.44462,0.32946,0.32925,0.1522,1.9794,2.13676,2.02807,0.001882,0.001882,0.001882
84,3132.58,1.61687,1.88777,1.75118,0.44618,0.33664,0.33312,0.15166,1.98181,2.1333,2.03149,0.001783,0.001783,0.001783
85,3169.75,1.61984,1.89542,1.76239,0.44392,0.34018,0.33217,0.15287,1.98062,2.11856,2.02546,0.001684,0.001684,0.001684
86,3206.9,1.64206,1.90274,1.76574,0.44949,0.34008,0.34015,0.15529,1.99517,2.12542,2.03446,0.001585,0.001585,0.001585
87,3244.08,1.62658,1.88628,1.75721,0.45632,0.32673,0.33443,0.15194,1.99772,2.1369,2.04371,0.001486,0.001486,0.001486
88,3281.14,1.61425,1.89194,1.75543,0.45629,0.33839,0.34104,0.15526,1.98755,2.12702,2.02497,0.001387,0.001387,0.001387
89,3318.35,1.6082,1.88847,1.7505,0.45721,0.33956,0.3422,0.15778,1.98579,2.11605,2.0221,0.001288,0.001288,0.001288
90,3355.36,1.60784,1.87208,1.74951,0.45638,0.33973,0.34197,0.1566,1.97705,2.11424,2.0197,0.001189,0.001189,0.001189
91,3398.55,1.80427,2.10864,1.92239,0.45739,0.33348,0.33665,0.15415,1.96935,2.10885,2.01317,0.00109,0.00109,0.00109
92,3435.55,1.78206,2.0331,1.91526,0.45084,0.34509,0.34102,0.1571,1.9663,2.09325,2.01647,0.000991,0.000991,0.000991
93,3472.53,1.76874,2.00706,1.89929,0.48527,0.32946,0.34671,0.15804,1.979,2.08686,2.01746,0.000892,0.000892,0.000892
94,3509.46,1.75798,2.00577,1.89247,0.48354,0.33348,0.34785,0.15791,1.97195,2.08554,2.01687,0.000793,0.000793,0.000793
95,3546.33,1.75093,2.00589,1.8939,0.49326,0.33482,0.35309,0.15994,1.97266,2.09683,2.0173,0.000694,0.000694,0.000694
96,3583.15,1.75495,1.99382,1.89101,0.46282,0.3427,0.34206,0.15907,1.96695,2.08977,2.02277,0.000595,0.000595,0.000595
97,3620.08,1.7468,1.98912,1.88738,0.46058,0.34732,0.34952,0.15967,1.97246,2.08871,2.02523,0.000496,0.000496,0.000496
98,3656.88,1.74891,1.97825,1.88414,0.47474,0.34539,0.35316,0.16068,1.96491,2.08839,2.01439,0.000397,0.000397,0.000397
99,3693.78,1.74254,1.97824,1.87868,0.47076,0.34707,0.35569,0.15996,1.96686,2.0785,2.01027,0.000298,0.000298,0.000298
100,3730.7,1.74558,1.96803,1.88303,0.48566,0.34286,0.35327,0.16118,1.96784,2.08301,2.01019,0.000199,0.000199,0.000199
