epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,250.648,0.16984,0.20786,0.89512,0.75572,1,0.995,0.97806,0.16865,1.49656,0.52992,0.005644,0.005644,0.005644
46,255.824,0.15152,0.184,0.88932,0.77143,1,0.995,0.995,0.23248,1.21423,0.62724,0.005545,0.005545,0.005545
47,261.106,0.17149,0.20564,0.89614,0.77849,1,0.98947,0.97203,0.24255,1.06776,0.62014,0.005446,0.005446,0.005446
48,266.46,0.15564,0.17798,0.88028,0.78087,1,0.995,0.995,0.18467,1.18226,0.60234,0.005347,0.005347,0.005347
49,271.791,0.15024,0.16921,0.88648,0.98304,1,0.995,0.995,0.18958,1.19597,0.56459,0.005248,0.005248,0.005248
50,277.1,0.18626,0.19765,0.91462,0.95777,1,0.995,0.9944,0.19977,0.26309,0.59205,0.005149,0.005149,0.005149
51,282.391,0.1422,0.16209,0.88199,0.97443,1,0.995,0.995,0.23328,0.26476,0.58719,0.00505,0.00505,0.00505
52,287.647,0.15614,0.19253,0.9022,0.99819,1,0.995,0.96254,0.28252,0.31233,0.61006,0.004951,0.004951,0.004951
53,292.943,0.15238,0.18391,0.88428,0.65681,1,0.995,0.995,0.34812,1.39432,0.73327,0.004852,0.004852,0.004852
54,298.291,0.1554,0.18646,0.88187,0.90534,1,0.99292,0.92911,0.26511,0.84316,0.59164,0.004753,0.004753,0.004753
55,303.612,0.14881,0.18718,0.88025,0.94497,1,0.9867,0.92538,0.24124,0.44712,0.5936,0.004654,0.004654,0.004654
56,308.972,0.14043,0.18846,0.86989,0.6842,1,0.97085,0.91542,0.21008,1.1152,0.60164,0.004555,0.004555,0.004555
57,314.283,0.14859,0.17696,0.88085,0.97713,1,0.99457,0.99307,0.14854,0.17634,0.5421,0.004456,0.004456,0.004456
58,319.588,0.13768,0.1678,0.86339,0.99878,1,0.995,0.995,0.17123,0.19156,0.55646,0.004357,0.004357,0.004357
59,324.892,0.13652,0.16459,0.87527,0.99683,1,0.995,0.995,0.16824,0.25233,0.54069,0.004258,0.004258,0.004258
60,330.247,0.12784,0.19004,0.88221,0.99884,1,0.995,0.995,0.19166,0.19091,0.56362,0.004159,0.004159,0.004159
61,335.575,0.12092,0.1563,0.86858,0.99879,1,0.995,0.995,0.15116,0.17596,0.50806,0.00406,0.00406,0.00406
62,340.785,0.12801,0.15548,0.89058,0.99869,1,0.995,0.995,0.18471,0.19608,0.55616,0.003961,0.003961,0.003961
63,346.086,0.13032,0.14866,0.90195,0.99564,1,0.995,0.995,0.17564,0.25461,0.55731,0.003862,0.003862,0.003862
64,351.394,0.11545,0.15505,0.86157,0.9966,1,0.995,0.995,0.17418,0.22621,0.55947,0.003763,0.003763,0.003763
65,356.698,0.11047,0.13291,0.86762,0.99837,1,0.995,0.995,0.17613,0.19457,0.53232,0.003664,0.003664,0.003664
66,362.025,0.22465,0.30624,0.99331,0.98867,1,0.995,0.995,0.16024,0.29635,0.52343,0.003565,0.003565,0.003565
67,367.267,0.11789,0.14626,0.87796,0.99805,1,0.995,0.995,0.1548,0.27802,0.51938,0.003466,0.003466,0.003466
68,372.548,0.11101,0.14775,0.87359,0.99582,1,0.995,0.995,0.15434,0.19203,0.54495,0.003367,0.003367,0.003367
69,377.841,0.11172,0.15587,0.86471,0.99017,1,0.995,0.995,0.16924,0.4612,0.53207,0.003268,0.003268,0.003268
70,383.096,0.11168,0.14152,0.86337,0.99236,1,0.995,0.995,0.19533,0.41812,0.55469,0.003169,0.003169,0.003169
71,388.368,0.117,0.17111,0.87374,0.98747,1,0.995,0.995,0.15565,0.1731,0.52929,0.00307,0.00307,0.00307
72,393.595,0.10842,0.12552,0.86686,0.99885,1,0.995,0.995,0.15482,0.17112,0.53987,0.002971,0.002971,0.002971
73,398.893,0.09771,0.1162,0.88079,0.99881,1,0.995,0.995,0.12828,0.16279,0.52636,0.002872,0.002872,0.002872
74,404.16,0.10286,0.1271,0.86711,0.99888,1,0.995,0.995,0.15707,0.15797,0.52961,0.002773,0.002773,0.002773
75,409.446,0.10229,0.12562,0.87079,0.99888,1,0.995,0.995,0.16003,0.17329,0.54612,0.002674,0.002674,0.002674
