epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,243.492,0.14886,0.17786,0.8924,0.99558,1,0.995,0.995,0.20724,0.35388,0.57083,0.005644,0.005644,0.005644
46,248.702,0.13826,0.16964,0.88507,0.78462,1,0.995,0.995,0.26584,1.09374,0.58766,0.005545,0.005545,0.005545
47,254.101,0.13295,0.17831,0.86877,0.85377,1,0.995,0.995,0.23257,0.90371,0.57019,0.005446,0.005446,0.005446
48,259.351,0.13942,0.16548,0.8794,0.68273,1,0.995,0.995,0.25612,1.29098,0.63091,0.005347,0.005347,0.005347
49,264.622,0.14838,0.18356,0.88496,0.99773,1,0.995,0.995,0.22188,0.27473,0.56849,0.005248,0.005248,0.005248
50,269.915,0.17556,0.20116,0.90721,0.96964,1,0.995,0.9909,0.17551,0.90157,0.5301,0.005149,0.005149,0.005149
51,275.081,0.13821,0.15578,0.88292,0.98765,1,0.995,0.995,0.13969,0.63717,0.51877,0.00505,0.00505,0.00505
52,280.306,0.15333,0.16935,0.89615,0.65704,1,0.995,0.995,0.1042,0.92839,0.4964,0.004951,0.004951,0.004951
53,285.493,0.14138,0.1542,0.87812,0.99887,1,0.995,0.995,0.14163,0.25978,0.52457,0.004852,0.004852,0.004852
54,290.63,0.14903,0.16053,0.87517,0.98574,1,0.995,0.995,0.2964,0.49546,0.73581,0.004753,0.004753,0.004753
55,295.871,0.14637,0.17531,0.87198,0.99001,1,0.995,0.99308,0.25737,0.43563,0.64223,0.004654,0.004654,0.004654
56,301.001,0.13544,0.1683,0.86921,0.99879,1,0.995,0.995,0.15192,0.24553,0.53249,0.004555,0.004555,0.004555
57,306.302,0.13811,0.16266,0.87121,0.97789,1,0.995,0.995,0.16409,0.25113,0.53597,0.004456,0.004456,0.004456
58,311.612,0.13782,0.15487,0.8614,0.99652,1,0.995,0.99474,0.16888,0.24778,0.50889,0.004357,0.004357,0.004357
59,316.752,0.12927,0.15015,0.87711,0.99864,1,0.995,0.995,0.15567,0.25576,0.51368,0.004258,0.004258,0.004258
60,321.887,0.14358,0.38587,0.89153,0.99864,1,0.995,0.995,0.11322,0.2548,0.49208,0.004159,0.004159,0.004159
61,327.067,0.11715,0.14341,0.8648,0.9968,1,0.995,0.995,0.18479,0.36091,0.52158,0.00406,0.00406,0.00406
62,332.233,0.11929,0.14632,0.88731,0.99693,1,0.995,0.995,0.13372,0.29128,0.49922,0.003961,0.003961,0.003961
63,337.39,0.11772,0.15845,0.88651,0.99885,1,0.995,0.995,0.13957,0.30285,0.48892,0.003862,0.003862,0.003862
64,342.646,0.11534,0.15351,0.86126,0.75627,1,0.995,0.995,0.14392,0.94554,0.49192,0.003763,0.003763,0.003763
65,347.811,0.11122,0.13243,0.86931,0.74846,1,0.995,0.995,0.13004,1.0109,0.46584,0.003664,0.003664,0.003664
66,352.924,0.20101,0.28958,0.9698,0.65713,1,0.995,0.995,0.18431,1.36226,0.50915,0.003565,0.003565,0.003565
67,358.124,0.11803,0.1452,0.87865,0.66153,1,0.98256,0.98256,0.15136,1.28111,0.49827,0.003466,0.003466,0.003466
68,363.372,0.1164,0.16507,0.88319,0.99872,1,0.995,0.995,0.19181,0.25441,0.55897,0.003367,0.003367,0.003367
69,368.654,0.10866,0.13438,0.86606,0.99832,1,0.995,0.995,0.1616,0.27217,0.52898,0.003268,0.003268,0.003268
70,373.936,0.10508,0.14061,0.86196,0.9303,1,0.995,0.995,0.12906,0.35736,0.48495,0.003169,0.003169,0.003169
71,379.105,0.10908,0.17012,0.87092,0.99878,1,0.995,0.995,0.15835,0.25939,0.48078,0.00307,0.00307,0.00307
72,384.308,0.10158,0.12176,0.86488,0.9989,1,0.995,0.995,0.11463,0.1998,0.4683,0.002971,0.002971,0.002971
73,389.511,0.09724,0.1122,0.88234,0.9989,1,0.995,0.995,0.14109,0.18489,0.48682,0.002872,0.002872,0.002872
74,394.671,0.10171,0.12733,0.86519,0.99889,1,0.995,0.995,0.11354,0.1697,0.48887,0.002773,0.002773,0.002773
75,399.875,0.09977,0.1232,0.86995,1,1,0.995,0.995,0.13843,0.17823,0.51432,0.002674,0.002674,0.002674
76,405.118,0.09473,0.16659,0.87701,0.99889,1,0.995,0.995,0.1418,0.20925,0.50774,0.002575,0.002575,0.002575
77,410.301,0.08727,0.11698,0.87445,0.99888,1,0.995,0.995,0.12309,0.19656,0.47692,0.002476,0.002476,0.002476
78,415.481,0.09345,0.12391,0.8583,0.99891,1,0.995,0.995,0.09738,0.15788,0.46044,0.002377,0.002377,0.002377
79,420.701,0.08767,0.12691,0.86989,0.99891,1,0.995,0.995,0.09388,0.16421,0.45633,0.002278,0.002278,0.002278
80,425.896,0.09591,0.12556,0.87006,0.98625,1,0.995,0.995,0.10113,0.3754,0.45799,0.002179,0.002179,0.002179
81,431.093,0.0867,0.12105,0.85857,0.99889,1,0.995,0.995,0.13406,0.18366,0.48644,0.00208,0.00208,0.00208
82,436.303,0.08273,0.11035,0.86062,0.99883,1,0.995,0.995,0.11272,0.18984,0.47419,0.001981,0.001981,0.001981
83,441.59,0.07839,0.10114,0.86791,0.97214,1,0.995,0.995,0.11749,0.64761,0.48604,0.001882,0.001882,0.001882
84,446.792,0.08594,0.10653,0.86523,0.99333,1,0.995,0.995,0.10675,0.2512,0.47925,0.001783,0.001783,0.001783
85,451.968,0.07461,0.10612,0.85898,0.99889,1,0.995,0.995,0.11678,0.17901,0.48284,0.001684,0.001684,0.001684
86,457.192,0.07179,0.10064,0.86299,0.9989,1,0.995,0.995,0.09692,0.19641,0.47228,0.001585,0.001585,0.001585
87,462.38,0.07924,0.11242,0.87092,0.9989,1,0.995,0.995,0.11368,0.1977,0.4851,0.001486,0.001486,0.001486
88,467.626,0.075,0.15844,0.8677,0.99884,1,0.995,0.995,0.11305,0.19308,0.48872,0.001387,0.001387,0.001387
89,472.779,0.07591,0.10423,0.88041,0.99889,1,0.995,0.995,0.11047,0.19829,0.47547,0.001288,0.001288,0.001288
90,477.93,0.11827,0.1267,0.95673,0.9989,1,0.995,0.995,0.12276,0.17418,0.47837,0.001189,0.001189,0.001189
91,489.041,0.1086,0.47595,0.87821,0.99889,1,0.995,0.995,0.11316,0.23803,0.48298,0.00109,0.00109,0.00109
92,494.357,0.06737,0.10944,0.85138,0.99871,1,0.995,0.995,0.10845,0.26643,0.47234,0.000991,0.000991,0.000991
93,499.59,0.06635,0.08795,0.84861,0.99889,1,0.995,0.995,0.08446,0.1927,0.45267,0.000892,0.000892,0.000892
94,504.784,0.05921,0.07973,0.84766,0.99891,1,0.995,0.995,0.09755,0.19091,0.46881,0.000793,0.000793,0.000793
95,509.961,0.06114,0.08287,0.84619,0.9989,1,0.995,0.995,0.11925,0.18519,0.47918,0.000694,0.000694,0.000694
96,515.248,0.06197,0.08153,0.85366,0.9989,1,0.995,0.995,0.0863,0.1764,0.45169,0.000595,0.000595,0.000595
97,520.419,0.05734,0.07307,0.84141,0.99891,1,0.995,0.995,0.09454,0.16153,0.4491,0.000496,0.000496,0.000496
98,525.625,0.05411,0.07376,0.84583,0.9989,1,0.995,0.995,0.07668,0.14252,0.43475,0.000397,0.000397,0.000397
99,530.871,0.07435,0.11329,0.89416,0.99891,1,0.995,0.995,0.08947,0.14784,0.44461,0.000298,0.000298,0.000298
100,536.057,0.04795,0.06925,0.83579,0.99891,1,0.995,0.995,0.07933,0.14917,0.44009,0.000199,0.000199,0.000199
